image,colors,threads,defined_colors,normal_bytes,or_bytes,size_ratio,encode_normal_ms,encode_or_ms,decode_rgba_normal_ms,decode_rgba_or_ms,decode_indexed_normal_ms,decode_indexed_or_ms,decode_cli_normal_ms,decode_cli_or_ms,encode_cli_speedup,decode_rgba_speedup,decode_indexed_speedup,decode_cli_speedup,msssim,deltae
smooth-gradient-600x450,256,11,256,116365,237312,2.0393761010613156,19.142291999742156,19.303958000818966,0.955,2.178,0.983,1.975,27.03795799970976,27.709124999091728,0.9916252407371612,0.4384756657483931,0.4977215189873417,0.9757781236540682,0.965073,2.878895
smooth-gradient-600x450,256,12,256,116736,237794,2.037023711622807,18.960291999974288,18.47270899997966,0.9859999999999999,2.0869999999999997,1.021,1.965,27.099207998617203,28.32608300013817,1.0263947751244913,0.4724484906564446,0.5195928753180661,0.9566874459304882,0.965012,2.876932
rare-colors-600x450,256,12,256,107744,192523,1.7868558806058805,14.402249998965999,14.358165999510675,0.753,1.371,0.773,1.21,20.13500000066415,20.221958000547602,1.0030703085238621,0.549234135667396,0.6388429752066116,0.995699822940929,0.995871,0.511394
rare-colors-600x450,256,11,256,107753,192497,1.7864653420322405,13.931125000453903,14.29308299884724,0.678,1.379,0.7699999999999999,1.22,19.798625000476022,20.825040999625344,0.9746760024815829,0.49166062364031904,0.6311475409836066,0.9507124140035168,0.995885,0.511565
rare-colors-600x450,256,10,256,107806,192464,1.7852809676641375,14.231541999834008,14.260709000154748,0.601,1.1440000000000001,0.6629999999999999,0.987,19.458208998912596,20.01883299999463,0.9979547299983175,0.5253496503496503,0.6717325227963525,0.9719951706934074,0.995869,0.511916
rare-colors-600x450,256,9,256,107806,192464,1.7852809676641375,14.298750000307336,14.43620799909695,0.606,1.178,0.638,1.01,19.58879099947808,20.11408300131734,0.9904782475565458,0.5144312393887945,0.6316831683168317,0.9738843673954781,0.995869,0.511916
rare-colors-600x450,256,8,256,107928,192794,1.7863205099696093,14.955041999201057,14.780249999603257,0.58,1.216,0.635,1.056,19.50470799965842,20.28904200051329,1.0118260516298772,0.47697368421052627,0.6013257575757576,0.9613419893933373,0.9959,0.512066
rare-colors-600x450,256,7,256,107814,192681,1.787161222104736,15.251124999849708,15.223291999063804,0.5860000000000001,1.252,0.625,1.1019999999999999,19.559709000532166,20.492249999733758,1.001828316817914,0.46805111821086265,0.5671506352087115,0.9544929912911609,0.995891,0.51202
rare-colors-600x450,256,6,256,107905,192689,1.7857281868310089,15.374833999885595,15.23891599936178,0.624,1.3940000000000001,0.6679999999999999,1.227,19.618667000031564,20.61166599924036,1.0089191383776581,0.44763271162123386,0.5444172779136104,0.9518234479810904,0.995889,0.512437
rare-colors-600x450,256,5,256,107863,192747,1.786961237866553,16.484084000694565,16.717332999178325,0.646,1.4809999999999999,0.6769999999999999,1.328,19.437499999185093,20.240208999894094,0.9860474754857593,0.4361917623227549,0.509789156626506,0.9603408739152248,0.995895,0.512348
rare-colors-600x450,256,4,256,107953,192814,1.7860920956342112,18.11983399966266,17.956290999791236,0.673,1.716,0.6970000000000001,1.564,19.561875000363216,20.571791999827838,1.0091078385772054,0.39219114219114215,0.44565217391304346,0.950907679823271,0.995918,0.512739
rare-colors-600x450,256,3,256,107942,192886,1.7869411350540105,24.203582999689388,24.110207999910926,0.7929999999999999,2.084,0.819,1.9449999999999998,19.629375001386506,20.806790998904034,1.0038728409053463,0.3805182341650672,0.4210796915167095,0.943411937113246,0.995921,0.512959
rare-colors-600x450,256,2,256,107942,192886,1.7869411350540105,25.118875000771368,24.325291999048204,1.004,2.787,1.002,2.6510000000000002,19.995167000161018,21.718915999372257,1.0326237811144965,0.3602439899533548,0.37797057714070165,0.9206337462117787,0.995921,0.512959
snake-fullhd,256,1,256,1435170,2114073,1.4730470954660424,220.47445900170715,199.9796250001964,15.601,31.667,15.049999999999999,33.598000000000006,194.23674999961804,210.53245800067089,1.1024846106271609,0.49265797202134715,0.4479433299601166,0.9225976452476468,0.986745,2.970626
snake-fullhd,256,2,256,1417184,2030707,1.4329169677331948,211.03983400098514,202.26995799930592,17.713,44.257999999999996,17.312,42.845,196.29929199982143,222.75358300066728,1.0433572839408476,0.4002214288942112,0.4040611506593535,0.8812396611336816,0.989203,2.571429
snake-fullhd,256,3,256,1417184,2030707,1.4329169677331948,197.25933399968199,200.24133299921232,13.362,32.233,13.041,30.71,191.70691699946474,211.04716599984386,0.9851079746880128,0.41454410076629544,0.42464995115597526,0.9083605368081871,0.989203,2.571429
snake-fullhd,256,4,256,1416702,2031106,1.4336861245343058,157.49391700046544,158.1939589996182,10.959,25.111,10.678,23.567999999999998,189.16066699966905,203.80554199982726,0.9955747867770701,0.43642228505435865,0.45307196198234895,0.9281429010396066,0.989207,2.571477
snake-fullhd,256,5,256,1417768,2030780,1.432378217028456,137.28162500046892,133.26916599908145,9.536,21.279,9.325,19.734,190.22475000019767,201.15595800052688,1.0301079321034778,0.448141360026317,0.47253471166514643,0.945658045086089,0.989215,2.570297
snake-fullhd,256,6,256,1418051,2029936,1.431497174643225,133.06924999960756,130.9304170008545,8.526,18.246,8.297,16.288,187.00620900017384,196.74070800101617,1.0163356464276678,0.46728049983558045,0.5093934184675836,0.9505211753086095,0.989229,2.570978
snake-fullhd,256,7,256,1416617,2029570,1.4326878754102204,116.65820799862558,115.86341700058256,7.796,16.145,7.692,14.585,186.9245840007352,196.10695899973507,1.0068597234452272,0.4828739547847631,0.5273911552965375,0.9531766998691144,0.989243,2.57071
snake-fullhd,256,8,256,1417619,2030754,1.432510427696017,109.36404199856042,109.42450000038662,7.388,14.644,7.256,13.12,187.73016700106382,194.314584001404,0.9994474911758703,0.5045069653100245,0.5530487804878049,0.9661146535440047,0.989216,2.570201
snake-fullhd,256,9,256,1415369,2029655,1.4340112013192319,105.34841600019718,105.11004199906893,6.888,13.343,6.8149999999999995,11.736999999999998,186.24000000090746,193.52845799949137,1.0022678518302786,0.5162257363411527,0.580642412882338,0.9623390891762127,0.98925,2.570055
snake-fullhd,256,10,256,1415369,2029655,1.4340112013192319,103.45979199883004,103.4706249993178,6.6160000000000005,12.511,6.507,10.87,189.35787500049628,195.05150000077265,0.999895303614066,0.5288146431140597,0.598620055197792,0.9708096323265711,0.98925,2.570055
snake-fullhd,256,11,256,1416131,2028626,1.4325129525446445,98.71841600033804,97.83220799909031,6.802,14.545,6.675999999999999,12.825,188.28550000034738,194.7882500007836,1.009058448330799,0.4676521141285665,0.5205458089668615,0.9666163128401736,0.989252,2.569852
snake-fullhd,256,12,256,1415540,2029006,1.4333794876866779,93.75441699921794,92.26254200075346,6.832000000000001,13.877,6.97,12.194999999999999,186.6783330006001,195.97887500094657,1.0161698883004144,0.4923254305685667,0.5715457154571546,0.9525431401710948,0.98926,2.569458
