revision,method,frequency_nyquist,radial_power_db,radial_anisotropy_db
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7734375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.7890625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8046875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8203125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8359375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8515625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8671875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8828125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.8984375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9140625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9296875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9453125,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9609375,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9765625,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,none,0.9921875,,
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0078125,-29.036872946451403,-1.9430779229317179
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0234375,-39.72946397398457,-0.9226715687357961
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0390625,-36.02667200326219,-0.10691994764783426
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0546875,-33.09741687868596,-1.850968109836662
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0703125,-29.536855352779398,-0.21971460550720096
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.0859375,-28.891191878550316,-0.7836361969830343
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1015625,-27.02744912903849,-0.6979870353485501
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1171875,-24.754747217355053,1.4255287356024056
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1328125,-23.277669877331718,0.7800614598594545
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1484375,-21.930850288263276,0.13486497422119947
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1640625,-21.306607234015974,0.10687689831462359
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1796875,-20.03999082418961,-1.3036767429910292
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.1953125,-18.055104448147908,-0.1962394117975218
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2109375,-17.968881577681387,-0.4005014100294
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2265625,-16.58331483630232,0.2853278517183642
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2421875,-16.10876189958889,-1.876477482844334
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2578125,-14.726064396401362,-1.4995629991456818
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2734375,-13.68807956052816,-1.915943786200096
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.2890625,-12.54339402058985,0.41465445875803414
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3046875,-12.08638479355847,0.9022356334472854
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3203125,-9.812182568531343,0.38391674781869145
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3359375,-7.070254009759549,1.7109585642194312
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3515625,-6.650441370395929,1.7871871654804377
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3671875,-6.834143534221045,0.5982458448446731
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3828125,-6.3319598576705625,0.2590771863087154
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.3984375,-6.850189852513547,-1.0769453502028528
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4140625,-7.162275690030312,-1.6439128907395586
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4296875,-7.684260258101567,-4.981524903421043
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4453125,-7.055256298312418,-4.701123961593183
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4609375,-7.342381774508918,-6.70894018246663
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4765625,-7.039586742605488,-7.568772413401938
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.4921875,-7.5681427743972165,-8.589767385246553
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5078125,-7.056427930296222,-6.955224643299198
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5234375,-6.896698342746234,-6.686546973346735
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5390625,-6.4285238387965125,-5.3832824864857445
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5546875,-5.932648301298629,-3.9551364132812794
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5703125,-5.6786997074921235,-5.183904875222663
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.5859375,-5.956000838675789,-3.5893661713689125
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6015625,-4.778751166712997,-3.521085296468398
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6171875,-5.2939288397717545,-3.9246379025403524
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6328125,-5.077761178362227,-3.937307006833648
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6484375,-4.536319533941605,-3.0530070896732737
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6640625,-3.5739268366498744,-1.650472744983398
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6796875,-3.5093996673000283,-1.5966258481770943
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.6953125,-2.8008619679714637,0.055140208646144086
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7109375,-2.408617097235247,-0.3595916731220925
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7265625,-2.4270632921773934,-1.2146430620187656
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7421875,-2.128520038247485,-1.0593978135787738
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7578125,-1.498574303597474,-0.7332755696461786
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7734375,-1.6929339844045066,-0.292808411045767
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.7890625,-0.6480375402300629,0.8503152022851503
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8046875,-0.33830645945425236,1.5687413531591479
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8203125,0.24116709897123154,1.5399488474324845
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8359375,0.6728577460408308,1.1718898842224095
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8515625,1.2423764131374173,1.229092747069404
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8671875,1.3958761373926434,0.848584437788768
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8828125,2.0990394664641423,1.1141622294461475
