revision,fixture,width,height,pixels,sixel_bytes,sixel_sha256,threads,round,phase,sample,traversal,schedule_position,scan_start_count,scan_finish_count,paint_ready_count,paint_start_count,paint_finish_count,decoder_abort_count,observed_path,barrier_ordered,paint_spans_overlap,decoder_wall_seconds,scan_wall_seconds,paint_wall_seconds,png_wall_seconds,total_wall_seconds,command
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,15,3,timed,1,ascending,15,15,15,15,15,15,0,parallel-direct,yes,yes,0.006102,0.00265,0.002973,0.06722,0.07341500000000001,'{sixel2png}' --threads=15 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,16,3,timed,1,ascending,16,16,16,16,16,16,0,parallel-direct,yes,yes,0.006368,0.0025629999999999997,0.003167,0.065862,0.072341,'{sixel2png}' --threads=16 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,16,4,timed,2,descending,1,16,16,16,16,16,0,parallel-direct,yes,yes,0.006433,0.002654,0.003234,0.06685100000000001,0.073386,'{sixel2png}' --threads=16 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,15,4,timed,2,descending,2,15,15,15,15,15,0,parallel-direct,yes,yes,0.006098,0.002654,0.002888,0.067113,0.073306,'{sixel2png}' --threads=15 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,14,4,timed,2,descending,3,14,14,14,14,14,0,parallel-direct,yes,yes,0.0057729999999999995,0.002386,0.0028160000000000004,0.067264,0.073142,'{sixel2png}' --threads=14 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,13,4,timed,2,descending,4,13,13,13,13,13,0,parallel-direct,yes,yes,0.00608,0.002512,0.0030459999999999997,0.06579800000000001,0.071968,'{sixel2png}' --threads=13 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,12,4,timed,2,descending,5,12,12,12,12,12,0,parallel-direct,yes,yes,0.006063,0.0026030000000000003,0.0030210000000000002,0.06717000000000001,0.073324,'{sixel2png}' --threads=12 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,11,4,timed,2,descending,6,11,11,11,11,11,0,parallel-direct,yes,yes,0.006013999999999999,0.002679,0.002921,0.065835,0.071955,'{sixel2png}' --threads=11 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,10,4,timed,2,descending,7,10,10,10,10,10,0,parallel-direct,yes,yes,0.005274,0.0021579999999999998,0.002697,0.065948,0.07133400000000001,'{sixel2png}' --threads=10 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,9,4,timed,2,descending,8,9,9,9,9,9,0,parallel-direct,yes,yes,0.005516,0.002292,0.002855,0.065734,0.07133600000000001,'{sixel2png}' --threads=9 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
