revision,platform,fixture_id,fixture_label,fixture_class,input,width,height,colors,colorspace,label,binbits,source_points,effective_points,effective_points_per_color,seeds,MS-SSIM_regret_median,MS-SSIM_regret_p90,MS-SSIM_regret_max,Delta E00_regret_median,Delta E00_regret_p90,Delta E00_regret_max,Delta Chroma_regret_median,Delta Chroma_regret_p90,Delta Chroma_regret_max,encoded_size_ratio_median,encoded_size_ratio_p90,encoded_size_ratio_max,strict_pass_count,strict_pass_rate,balanced_pass_count,balanced_pass_rate,relaxed_pass_count,relaxed_pass_rate
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,cielab,CIELAB,5,270000,278,2.171875,5,0.006512000000000073,0.009552000000000005,0.01074200000000003,0.20167999999999986,0.2414624,0.26593599999999995,0.3583560000000001,0.37506780000000006,0.382671,1.038548940214023,1.0534571017781198,1.0608051904841125,0,0.0,1,0.2,1,0.2
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,cielab,CIELAB,6,270000,883,6.8984375,5,0.0023450000000000415,0.004206600000000016,0.004388999999999976,0.11886899999999989,0.20325619999999994,0.20743299999999998,0.15120200000000028,0.28100780000000003,0.36605900000000013,1.0251208527868445,1.0407126705510827,1.04088338046914,0,0.0,2,0.4,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,cielab,CIELAB,7,270000,2999,23.4296875,5,0.0017380000000000173,0.004630200000000007,0.005413000000000001,0.10827399999999998,0.12217199999999995,0.12280999999999986,0.10980200000000018,0.2662728,0.28034400000000015,1.0195059058392946,1.035532386377323,1.0444015444015444,0,0.0,3,0.6,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,cielab,CIELAB,8,270000,10306,80.515625,5,0.003286000000000011,0.004215400000000047,0.004375000000000018,0.09814499999999993,0.1256310000000001,0.12885500000000016,0.14416199999999968,0.2143196000000001,0.2201700000000002,0.9970622796709753,0.9998518712333591,1.0016940048754286,1,0.2,2,0.4,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,din99d,DIN99d,4,270000,82,0.640625,5,0.025505,0.02587139999999999,0.026110999999999995,0.9013730000000002,0.9896702,1.012561,1.232498,1.5351682,1.547329,0.7211801809278778,0.7270758953298349,0.7290441794053418,0,0.0,0,0.0,0,0.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,din99d,DIN99d,5,270000,227,1.7734375,5,0.010050000000000003,0.011387600000000008,0.011942000000000008,0.29438699999999995,0.3380351999999999,0.3554219999999999,0.5059969999999998,0.5716952,0.595488,0.9900470351083487,1.019660854313098,1.0314125146787452,0,0.0,0,0.0,0,0.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,din99d,DIN99d,6,270000,701,5.4765625,5,0.003157999999999994,0.0070626000000000525,0.0074390000000000844,0.129162,0.15067320000000003,0.1547860000000001,0.1901320000000002,0.2579527999999998,0.2617079999999996,1.002821810938667,1.039059755198645,1.047349438013756,1,0.2,2,0.4,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,din99d,DIN99d,7,270000,2395,18.7109375,5,0.0036519999999999886,0.006180000000000008,0.006460000000000021,0.08238500000000015,0.15930019999999995,0.196793,0.21657799999999972,0.3213656,0.37760799999999994,0.9964300040112315,1.035582963488556,1.043759449017302,1,0.2,1,0.2,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,din99d,DIN99d,8,270000,8258,64.515625,5,0.0006770000000000387,0.0035244000000000052,0.0035760000000000236,0.08048699999999998,0.08585800000000003,0.08849400000000007,0.17379800000000012,0.2357163999999999,0.256386,1.008714416134119,1.025893775693528,1.0318326894003023,0,0.0,3,0.6,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,gamma,gamma sRGB,4,270000,209,1.6328125,5,0.0022410000000000485,0.0034935999999999635,0.0035039999999999516,0.0831630000000001,0.13047299999999998,0.144509,0.14743899999999988,0.20637160000000002,0.20867199999999997,1.0017755231452123,1.0188265691563565,1.023901343391109,0,0.0,1,0.2,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,gamma,gamma sRGB,5,270000,731,5.7109375,5,0.0011879999999999669,0.005427599999999977,0.006151999999999935,0.08426400000000012,0.12137580000000003,0.12925500000000012,0.1176600000000001,0.2177690000000001,0.23727700000000018,1.031058490015425,1.0480804839904603,1.0530120481927712,1,0.2,3,0.6,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,gamma,gamma sRGB,6,270000,2534,19.796875,5,0.0007779999999999454,0.002221999999999969,0.0031759999999999566,0.039654999999999996,0.062899,0.07392500000000002,0.05980500000000011,0.12767099999999992,0.14224899999999985,1.0011672989535998,1.023686259570683,1.025153244557176,4,0.8,4,0.8,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,gamma,gamma sRGB,7,270000,9733,76.0390625,5,-0.0006450000000000067,0.0014174000000000133,0.0027770000000000294,0.03581400000000001,0.057523599999999946,0.07046399999999986,0.09599199999999986,0.1101135999999999,0.11154199999999981,0.9963730353941719,1.0164337840630784,1.0175861340097232,3,0.6,4,0.8,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,gamma,gamma sRGB,8,270000,38459,300.4609375,5,-0.00020500000000001073,0.0009249999999999315,0.001474999999999893,0.021339999999999915,0.06522499999999995,0.07761299999999993,0.07821099999999981,0.09343459999999996,0.09874099999999997,0.9790646978982437,1.046105094146445,1.0579310929355425,3,0.6,5,1.0,5,1.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,linear,linear RGB,4,270000,263,2.0546875,5,0.011492000000000058,0.015690800000000026,0.018476000000000048,0.30821200000000015,0.3221051999999999,0.3282639999999999,0.28390499999999985,0.32566780000000006,0.343197,0.9464785401805068,0.9499250817285055,0.951441695294708,0,0.0,0,0.0,1,0.2
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,linear,linear RGB,5,270000,968,7.5625,5,0.0008759999999999879,0.004411999999999994,0.006062000000000012,0.08645199999999997,0.12227479999999998,0.136544,0.14648299999999992,0.24956180000000006,0.30391100000000026,0.9743382267945903,1.0018942204787449,1.0069668582224671,2,0.4,4,0.8,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,linear,linear RGB,6,270000,3629,28.3515625,5,0.0020540000000000003,0.009538199999999964,0.01253699999999991,0.0748089999999999,0.20028459999999998,0.22968900000000003,0.061806999999999945,0.24945379999999978,0.2576189999999996,0.9880553307902747,0.9943670493962358,0.9957435068773893,1,0.2,1,0.2,3,0.6
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,linear,linear RGB,7,270000,14043,109.7109375,5,0.007403999999999966,0.013626600000000022,0.01708900000000002,0.1443700000000001,0.2179744,0.241614,0.130614,0.26501220000000014,0.3120750000000001,0.9924478865641737,1.0160316850051379,1.025302486895519,1,0.2,1,0.2,2,0.4
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,linear,linear RGB,8,270000,25173,196.6640625,5,0.003295000000000048,0.006663799999999998,0.008703000000000016,0.019650000000000167,0.11442959999999999,0.16533599999999993,0.0756439999999996,0.20545020000000003,0.2776830000000001,1.0106534913343883,1.032330694447875,1.0400819769045837,2,0.4,2,0.4,4,0.8
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,oklab,OKLab,4,270000,87,0.6796875,5,0.028845999999999927,0.03198179999999995,0.032876999999999934,0.8433070000000003,0.868606,0.878716,1.1285119999999997,1.2835028,1.3395359999999998,0.7407527316875758,0.7547417863088369,0.7560008178286649,0,0.0,0,0.0,0,0.0
85a2674e53a2d7b75c6944b5a87b04ee9ea182b1,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,600,450,128,oklab,OKLab,5,270000,248,1.9375,5,0.009629999999999916,0.01379619999999997,0.014176999999999995,0.18719099999999989,0.2168682,0.2256609999999999,0.27603100000000014,0.4464612000000001,0.47269000000000005,0.991057884231537,1.0187043671008147,1.0234307912492333,0,0.0,0,0.0,1,0.2
