revision,platform,fixture_id,fixture_label,fixture_class,input,colors,colorspace,label,source_points,criterion,MS-SSIM_regret_limit,Delta E00_regret_limit,pass_rate_target,observed_binbits,observed_effective_points,observed_points_per_color,stable_binbits,stable_effective_points,stable_points_per_color,stable_censored
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,cielab,CIELAB,270000,relaxed,0.005,0.25,0.8,6,883,3.44921875,6,883,3.44921875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,balanced,0.002,0.15,0.8,7,2395,9.35546875,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,din99d,DIN99d,270000,relaxed,0.005,0.25,0.8,7,2395,9.35546875,7,2395,9.35546875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,gamma,gamma sRGB,270000,strict,0.001,0.05,0.8,7,9733,38.01953125,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,gamma,gamma sRGB,270000,balanced,0.002,0.15,0.8,6,2534,9.8984375,6,2534,9.8984375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,gamma,gamma sRGB,270000,relaxed,0.005,0.25,0.8,5,731,2.85546875,5,731,2.85546875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,linear,linear RGB,270000,strict,0.001,0.05,0.8,8,25173,98.33203125,8,25173,98.33203125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,linear,linear RGB,270000,balanced,0.002,0.15,0.8,5,968,3.78125,8,25173,98.33203125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,linear,linear RGB,270000,relaxed,0.005,0.25,0.8,5,968,3.78125,8,25173,98.33203125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,oklab,OKLab,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,oklab,OKLab,270000,balanced,0.002,0.15,0.8,6,780,3.046875,8,9062,35.3984375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,a98-gamut,Adobe RGB gamut ramps,broad-gamut,images/measurements/palette-pipeline/a98-gamut-600x450.png,256,oklab,OKLab,270000,relaxed,0.005,0.25,0.8,6,780,3.046875,6,780,3.046875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,cielab,CIELAB,434172,strict,0.001,0.05,0.8,5,492,7.6875,5,492,7.6875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,cielab,CIELAB,434172,balanced,0.002,0.15,0.8,5,492,7.6875,5,492,7.6875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,cielab,CIELAB,434172,relaxed,0.005,0.25,0.8,5,492,7.6875,5,492,7.6875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,din99d,DIN99d,434172,strict,0.001,0.05,0.8,5,750,11.71875,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,din99d,DIN99d,434172,balanced,0.002,0.15,0.8,4,196,3.0625,4,196,3.0625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,din99d,DIN99d,434172,relaxed,0.005,0.25,0.8,4,196,3.0625,4,196,3.0625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,gamma,gamma sRGB,434172,strict,0.001,0.05,0.8,4,512,8.0,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,gamma,gamma sRGB,434172,balanced,0.002,0.15,0.8,4,512,8.0,4,512,8.0,no
