name,colors,threads,normal_bytes,or_bytes,size_ratio,normal_ms,or_ms,cli_speedup,indexed_speedup,changed_pixels,alpha_changed_pixels,normal_msssim,or_msssim,normal_deltae,or_deltae
picsum-15-p256-t1,256,1,1185818,626899,0.5286637578447957,125.57295899932797,73.21420800144551,1.7151446751544277,20.60083081570997,0,0,0.997549,0.997549,3.749573,3.749573
picsum-16-p256-t1,256,1,621099,548873,0.8837125804420873,67.55316700036929,57.00958400120726,1.1849440437758456,5.281767955801105,0,0,0.994863,0.994863,2.584696,2.584696
picsum-17-p256-t1,256,1,1064187,636703,0.5982999228519048,104.71841700018558,74.44770899928699,1.4066036202831778,12.609240407204387,0,0,0.994958,0.994958,3.261052,3.261052
picsum-18-p256-t1,256,1,654201,611951,0.9354174022968476,98.19383300055051,81.16154200070014,1.2098566707826157,7.183725135623869,0,0,0.989768,0.989768,3.180076,3.180076
picsum-19-p256-t1,256,1,911869,630253,0.6911661653154126,124.392583998997,94.4033749983646,1.317670941331832,12.76350364963504,0,0,0.994525,0.994525,3.674067,3.674067
picsum-20-p256-t1,256,1,573582,561923,0.9796733509768437,84.5904169982532,71.3731670002744,1.185185141047867,5.703136396790663,0,0,0.990776,0.990776,3.746791,3.746791
picsum-21-p256-t1,256,1,818931,566597,0.6918739185596833,99.65408300013223,72.22362500033341,1.3797989646694164,11.133408071748878,0,0,0.988603,0.988603,3.100332,3.100332
picsum-22-p256-t1,256,1,1122664,625332,0.5570072612999081,74.71020900084113,41.99987500032876,1.7788197941126334,12.898449039881832,0,0,0.998116,0.998116,2.009955,2.009955
picsum-23-p256-t1,256,1,419078,421784,1.0064570318651898,47.07050000070012,37.31299999890325,1.261504033502631,5.392728904847397,0,0,0.994173,0.994173,1.708345,1.708345
picsum-24-p256-t1,256,1,407377,497920,1.2222584976569615,50.422374999470776,45.855625001422595,1.0995897449420111,2.625144620131122,0,0,0.993875,0.993875,1.878213,1.878213
picsum-25-p256-t1,256,1,995325,527081,0.529556677467159,123.79183400116744,63.704000000143424,1.9432348675261952,24.761250000000004,0,0,0.99794,0.99794,2.922068,2.922068
picsum-26-p256-t1,256,1,724772,550777,0.7599313991158598,55.67566699937743,39.242041999386856,1.418775990307725,6.9104422147900415,0,0,0.997159,0.997159,1.989841,1.989841
picsum-27-p256-t1,256,1,736316,585317,0.7949263631375659,77.15170800111082,62.41379200037045,1.2361323599862815,6.497382198952879,0,0,0.994491,0.994491,2.977989,2.977989
picsum-28-p256-t1,256,1,1215382,629908,0.5182798494629672,140.66304200059676,88.54925000014191,1.5885288921179042,21.196534068530916,0,0,0.996889,0.996889,3.695127,3.695127
