fixture,mode,threads,iteration,position,encode_ms,decode_ms
snake-fhd,256-none,1,10,5,108.071,9.439458
snake-fhd,256-fs,1,10,6,191.424,18.955209
snake-fhd,high,1,10,7,63.92275,15.198708
snake,256-none,1,10,8,27.389959,2.384708
snake,256-fs,1,10,9,47.053833,3.18
snake,high,1,10,10,14.540833,3.616
autumn,256-none,1,10,11,25.932667,2.857041
autumn,256-fs,1,10,12,35.5315,3.224625
autumn,high,1,10,13,15.154458,3.279542
gradient,256-none,1,10,14,16.069583,0.496125
gradient,256-fs,1,10,15,44.668125,2.096041
gradient,high,1,10,16,2.306125,0.865458
gray,256-none,1,10,17,1.300584,0.1435
snake-fhd,256-fs,2,-2,0,175.568875,22.01375
snake-fhd,high,2,-2,1,62.953208,15.988666
snake-fhd,256-none,2,-2,2,90.990667,10.688458
snake-fhd,256-fs,2,-1,0,177.876042,21.908
snake-fhd,256-none,2,-1,1,90.751917,10.625167
snake-fhd,high,2,-1,2,62.74425,15.924333
snake-fhd,256-none,2,0,0,94.769292,10.871625
snake-fhd,256-fs,2,0,1,178.311333,21.906083
snake-fhd,high,2,0,2,61.1175,15.7715
snake-fhd,256-none,2,1,0,90.49525,10.805875
snake-fhd,high,2,1,1,61.566458,16.476375
snake-fhd,256-fs,2,1,2,176.33575,22.244
snake-fhd,high,2,2,0,60.449458,16.022208
snake-fhd,256-none,2,2,1,89.264958,10.711792
snake-fhd,256-fs,2,2,2,175.432083,21.86075
snake-fhd,high,2,3,0,60.394291,15.963583
snake-fhd,256-fs,2,3,1,179.769375,21.858625
snake-fhd,256-none,2,3,2,92.18575,10.714875
snake-fhd,256-fs,2,4,0,179.148834,22.037917
snake-fhd,high,2,4,1,61.071125,15.660916
snake-fhd,256-none,2,4,2,90.116958,10.88275
snake-fhd,256-fs,2,5,0,178.079791,21.840417
snake-fhd,256-none,2,5,1,90.799583,10.740125
snake-fhd,high,2,5,2,61.3315,15.731459
snake-fhd,256-none,2,6,0,89.637542,10.775458
snake-fhd,256-fs,2,6,1,181.661583,21.912959
snake-fhd,high,2,6,2,61.009625,15.742084
snake-fhd,256-none,2,7,0,92.859542,10.8315
snake-fhd,high,2,7,1,60.946042,15.948125
snake-fhd,256-fs,2,7,2,177.936042,22.187583
snake-fhd,high,2,8,0,60.933459,15.823916
snake-fhd,256-none,2,8,1,90.922584,10.701084
snake-fhd,256-fs,2,8,2,176.320875,21.887375
snake-fhd,high,2,9,0,61.213958,15.485958
snake-fhd,256-fs,2,9,1,179.894792,22.341667
snake-fhd,256-none,2,9,2,91.331791,10.898
snake-fhd,256-fs,2,10,0,175.996291,21.857084
snake-fhd,high,2,10,1,61.062583,15.835125
snake-fhd,256-none,2,10,2,90.234209,10.781875
snake-fhd,256-fs,3,-2,0,160.031292,16.531083
snake-fhd,high,3,-2,1,61.830584,16.406375
snake-fhd,256-none,3,-2,2,79.648,7.972208
snake-fhd,256-fs,3,-1,0,163.092583,16.546584
snake-fhd,256-none,3,-1,1,76.167125,8.008875
snake-fhd,high,3,-1,2,60.456834,16.285083
snake-fhd,256-none,3,0,0,79.4335,8.03825
snake-fhd,256-fs,3,0,1,167.623792,16.377667
snake-fhd,high,3,0,2,59.884958,16.162
snake-fhd,256-none,3,1,0,77.65325,8.012458
snake-fhd,high,3,1,1,59.226833,16.27325
snake-fhd,256-fs,3,1,2,155.559458,16.149584
snake-fhd,high,3,2,0,59.895333,16.490625
snake-fhd,256-none,3,2,1,77.085209,7.883417
snake-fhd,256-fs,3,2,2,157.432584,16.733125
snake-fhd,high,3,3,0,59.954583,16.401375
snake-fhd,256-fs,3,3,1,159.083167,16.281625
snake-fhd,256-none,3,3,2,77.930584,8.082459
snake-fhd,256-fs,3,4,0,160.282292,16.22525
snake-fhd,high,3,4,1,59.678542,16.478375
snake-fhd,256-none,3,4,2,79.086625,8.056166
snake-fhd,256-fs,3,5,0,163.912708,16.544416
snake-fhd,256-none,3,5,1,78.06775,7.952958
snake-fhd,high,3,5,2,59.565625,16.098584
snake-fhd,256-none,3,6,0,77.713875,7.972708
snake-fhd,256-fs,3,6,1,156.164291,16.43075
snake-fhd,high,3,6,2,59.5205,16.229708
snake-fhd,256-none,3,7,0,78.702375,7.908042
snake-fhd,high,3,7,1,59.879916,16.329666
snake-fhd,256-fs,3,7,2,159.824417,16.515959
snake-fhd,high,3,8,0,59.830709,16.480208
snake-fhd,256-none,3,8,1,75.988708,8.077084
snake-fhd,256-fs,3,8,2,159.894709,16.32925
snake-fhd,high,3,9,0,59.700792,16.49325
snake-fhd,256-fs,3,9,1,159.043583,16.351542
snake-fhd,256-none,3,9,2,77.771917,8.021708
snake-fhd,256-fs,3,10,0,164.235541,16.573167
snake-fhd,high,3,10,1,59.921083,16.245542
snake-fhd,256-none,3,10,2,77.973541,8.018791
snake-fhd,256-fs,4,-2,0,106.726792,13.187584
snake-fhd,high,4,-2,1,59.959417,16.534542
snake-fhd,256-none,4,-2,2,55.896,6.42675
snake-fhd,256-fs,4,-1,0,109.09075,13.238708
snake-fhd,256-none,4,-1,1,54.280417,6.606958
snake-fhd,high,4,-1,2,57.999209,16.592333
snake-fhd,256-none,4,0,0,54.26075,6.53125
snake-fhd,256-fs,4,0,1,107.38175,13.034166
snake-fhd,high,4,0,2,59.530125,16.487375
snake-fhd,256-none,4,1,0,69.061125,6.581875
snake-fhd,high,4,1,1,58.522709,16.6505
snake-fhd,256-fs,4,1,2,107.983625,13.253292
snake-fhd,high,4,2,0,58.580583,16.685834
snake-fhd,256-none,4,2,1,54.602708,6.607
snake-fhd,256-fs,4,2,2,106.280125,13.224917
snake-fhd,high,4,3,0,59.676541,16.525834
snake-fhd,256-fs,4,3,1,110.056084,13.191625
